?country	?countryLabel	?capital	?capitalLabel	?area	?population	?continent	?continentLabel	?currency	?currencyLabel
<http://www.wikidata.org/entity/Q664>	"Nieu-Seeland"@af	<http://www.wikidata.org/entity/Q23661>	"Wellington"@af	268021	5118700	<http://www.wikidata.org/entity/Q538>	"Oseanië"@af	<http://www.wikidata.org/entity/Q1472704>	"Nieu-Seelandse dollar"@af
<http://www.wikidata.org/entity/Q672>	"Tuvalu"@af	<http://www.wikidata.org/entity/Q34126>	"Funafuti"@af	26	11792	<http://www.wikidata.org/entity/Q538>	"Oseanië"@af	<http://www.wikidata.org/entity/Q259502>	"Australiese dollar"@af
<http://www.wikidata.org/entity/Q668>	"Indië"@af	<http://www.wikidata.org/entity/Q987>	"Nieu-Delhi"@af	3287263	1326093247	<http://www.wikidata.org/entity/Q48>	"Asië"@af	<http://www.wikidata.org/entity/Q80524>	"Indiese roepee"@af
<http://www.wikidata.org/entity/Q678>	"Tonga"@af	<http://www.wikidata.org/entity/Q38834>	"Nukuʻalofa"@af	748.506563	108020	<http://www.wikidata.org/entity/Q538>	"Oseanië"@af	<http://www.wikidata.org/entity/Q4613>	"Paʻanga"@af
<http://www.wikidata.org/entity/Q695>	"Palau"@af	<http://www.wikidata.org/entity/Q515229>	"Ngerulmud"@af	465.550362	21729	<http://www.wikidata.org/entity/Q538>	"Oseanië"@af	<http://www.wikidata.org/entity/Q4917>	"Amerikaanse dollar"@af
<http://www.wikidata.org/entity/Q697>	"Nauru"@af	<http://www.wikidata.org/entity/Q31026>	"Yaren"@af	21	13650	<http://www.wikidata.org/entity/Q538>	"Oseanië"@af	<http://www.wikidata.org/entity/Q259502>	"Australiese dollar"@af
<http://www.wikidata.org/entity/Q702>	"Mikronesië"@af	<http://www.wikidata.org/entity/Q42751>	"Palikir"@af	702	105544	<http://www.wikidata.org/entity/Q538>	"Oseanië"@af	<http://www.wikidata.org/entity/Q4917>	"Amerikaanse dollar"@af
<http://www.wikidata.org/entity/Q709>	"Marshalleilande"@af	<http://www.wikidata.org/entity/Q12919>	"Majuro"@af	181.43	53127	<http://www.wikidata.org/entity/Q538>	"Oseanië"@af	<http://www.wikidata.org/entity/Q4917>	"Amerikaanse dollar"@af
<http://www.wikidata.org/entity/Q710>	"Kiribati"@af	<http://www.wikidata.org/entity/Q131233>	"Suid-Tarawa"@af	811	119438	<http://www.wikidata.org/entity/Q538>	"Oseanië"@af	<http://www.wikidata.org/entity/Q259502>	"Australiese dollar"@af
<http://www.wikidata.org/entity/Q736>	"Ecuador"@af	<http://www.wikidata.org/entity/Q2900>	"Quito"@af	255586.91	18000062	<http://www.wikidata.org/entity/Q18>	"Suid-Amerika"@af	<http://www.wikidata.org/entity/Q4917>	"Amerikaanse dollar"@af
<http://www.wikidata.org/entity/Q792>	"El Salvador"@af	<http://www.wikidata.org/entity/Q3110>	"San Salvador"@af	20742	5744113	<http://www.wikidata.org/entity/Q49>	"Noord-Amerika"@af	<http://www.wikidata.org/entity/Q4917>	"Amerikaanse dollar"@af
<http://www.wikidata.org/entity/Q792>	"El Salvador"@af	<http://www.wikidata.org/entity/Q3110>	"San Salvador"@af	20742	5744113	<http://www.wikidata.org/entity/Q49>	"Noord-Amerika"@af	<http://www.wikidata.org/entity/Q131723>	"Bitcoin"@af
<http://www.wikidata.org/entity/Q800>	"Costa Rica"@af	<http://www.wikidata.org/entity/Q3070>	"San José, Costa Rica"@af	51100	4905769	<http://www.wikidata.org/entity/Q49>	"Noord-Amerika"@af	<http://www.wikidata.org/entity/Q242915>	"Costa Ricaanse colón"@af
<http://www.wikidata.org/entity/Q800>	"Costa Rica"@af	<http://www.wikidata.org/entity/Q3070>	"San José, Costa Rica"@af	51100	5213362	<http://www.wikidata.org/entity/Q49>	"Noord-Amerika"@af	<http://www.wikidata.org/entity/Q242915>	"Costa Ricaanse colón"@af
<http://www.wikidata.org/entity/Q801>	"Israel"@af	<http://www.wikidata.org/entity/Q1218>	"Jerusalem"@af	20770	9187000	<http://www.wikidata.org/entity/Q48>	"Asië"@af	<http://www.wikidata.org/entity/Q131309>	"Nuwe sjekel"@af
